id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,license
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54367,13.42431,Entire home/apt,130.0,92,3,320,Unknown
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596,13.42291,Entire home/apt,126.0,4,4,298,"First name and Last name: Michele Fossi  (michelefossi@gmail.com) <br/> Contact address: Kastanienallee 10, DG rechts , 10435, Berlin, Germany <br/>Listing address: Ahlbeckerstr. 11A, VdH Rechts - Gewerbeeinheit, 10437, Berlin, Berlin"
34854,"Ku'damm-Nähe,sonnig,ruhig,Balkon",145583,Christian,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49546,13.30858,Entire home/apt,60.0,92,2,322,Unknown
37554,More central+calm it won´t get !!,161823,Iván,Mitte,Regierungsviertel,52.50906,13.39374,Entire home/apt,19.0,95,1,1,Unknown
42809,The Berlin Artist Apartment.,186851,Tina,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51099,13.45642,Entire home/apt,220.0,90,1,199,02/Z/RA/012660-20
55853,Hauptstadt-Domizil,264072,Britta,Charlottenburg-Wilm.,Neue Kantstraße,52.50469,13.29409,Entire home/apt,60.0,100,1,233,Unknown
57049,130 sqm with a view on Mauer Park,54283,Marine,Pankow,Prenzlauer Berg Nordwest,52.54758,13.40632,Entire home/apt,290.0,3,3,176,03/Z/RA/003544-18
58780,light quiet beautiful 4 room flat,281614,Katja,Pankow,Prenzlauer Berg Süd,52.53572,13.42739,Entire home/apt,240.0,5,4,262,03/Z/RA/007133-22
62613,Super Apartment in Berlin/Kreuzberg,227954,Guidi,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49612,13.42306,Entire home/apt,100.0,4,1,260,02/Z/AZ/011099-19
64014,"Rooftop apt w/ a view, 2 bedrooms/bathrooms, sauna",312896,Stephan,Mitte,Brunnenstr. Nord,52.54059,13.40301,Entire home/apt,186.0,3,1,17,01/Z/RA/016060-23
64245,Room w/ balcony and private bathroom in nice area,312373,Christian,Pankow,Prenzlauer Berg Nordwest,52.54994,13.406019,Private room,78.0,2,1,23,03/Z/AZ/006799-21
68448,Quiet studio in Prenzlauer Berg near Mauerpark,163384,Alan & Kasia StayBearlin,Pankow,Prenzlauer Berg Nord,52.55004,13.41518,Entire home/apt,152.0,3,9,114,"Legal entity name and Legal form: StayBearlin <br/>Legal representatives or Trade register number: Alan Connaughton <br/> Entity address: Grellstraße 34, 10409, Berlin, Deutschland <br/>Listing address: Wichertstraße 68, Seitenflügel links, EG, 10439, Berlin, Deutschland"
69780,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.5488,13.40425,Entire home/apt,106.0,150,4,97,Unknown
72079,"Italian Design at Kudamm ,WiFi DSL free",261488,P. Charlotte,Charlottenburg-Wilm.,Kantstraße,52.5078,13.31867,Entire home/apt,107.0,3,1,265,04/Z/ZA/003139-16
83614,Spacious Prenzlauer Berg Apartment in Quiet Street,456085,Louis,Pankow,Helmholtzplatz,52.54720260822955,13.416090488433827,Entire home/apt,290.0,2,2,322,03/Z/RA/007628-22
85560,Apartment 1 in Berlin,451311,Ruth,Mitte,Alexanderplatz,52.53036,13.38137,Entire home/apt,110.0,3,1,287,01/Z/ZA/004234-16
86090,spacious and cozy living in PrenzlBerg,472567,Alexandra,Pankow,Prenzlauer Berg Nord,52.54715,13.42657,Entire home/apt,199.0,3,4,69,03/Z/AZ/004499-19
89102,Bright loft in the Kastanienallee,485838,Michele,Pankow,Prenzlauer Berg Südwest,52.54048,13.41087,Entire home/apt,126.0,4,4,39,03/Z/RA/006066-21
115576,Bed and Garden,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.58178,13.3962,Entire home/apt,90.0,2,1,307,03/Z/ZA/001284-16
117649,F43 - your base for Berlin,594164,Ralph&Maria,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49989,13.4448,Entire home/apt,68.0,92,1,219,Unknown
127708,Design Jewel in the midst of MITTE!,632174,Stéphanie,Mitte,Alexanderplatz,52.52536,13.40488,Entire home/apt,109.0,2,6,262,01/Z/AZ/008752-18
135097,Near KaDeWe & Kurfürstendamm,662534,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49944,13.34685,Entire home/apt,140.0,1,1,354,07/Z/ZE/003727-17
145249,Private Wing in Penthouse - Bedroom Bath & Terrace,1853661,Kirk,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51604,13.46059,Private room,94.0,2,1,33,02/Z/AZ/016832-23
147339,Lovely apartment - central - quiet,712073,Gerhard,Tempelhof - Schöneberg,Schöneberg-Süd,52.48033,13.3609,Entire home/apt,100.0,4,1,305,07/Z/RA/005709-18
151249,"Private home, quiet, terrasse, cats,",728298,Ju,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49681,13.41758,Entire home/apt,60.0,3,1,172,02/Z/AZ/017580-23
159454,"Bright, Charming and Modern Altbau",499725,Prasad,Charlottenburg-Wilm.,Wiesbadener Straße,52.47844,13.30973,Entire home/apt,245.0,184,1,352,Unknown
163411,Ample parkside apartment Kreuzberg,779213,Jutta,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49919,13.43648,Entire home/apt,200.0,5,1,40,02/Z/RA/008798-18
164475,Sunny Room in Beautiful Apartment in Kreuzberg,784423,Patrick,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50266,13.43547,Private room,45.0,26,2,74,"First name and Last name: Nik Patrick Flynn <br/> Contact address: Eisenbahnstr 15, 10997, Berlin, Berlin <br/>Listing address: Eisenbahnstr 15, 10997, Berlin, Berlin"
168615,STAYINTOWN - Apartment in Berlin,803717,Dirk,Pankow,Blankenburg/Heinersdorf/Märchenland,52.58045,13.44398,Entire home/apt,56.0,3,1,296,03/Z/AZ/004644-19
173153,Beautiful flat 95m² in Berlin Mitte,826546,Wolfgang,Mitte,Alexanderplatz,52.52889,13.40726,Entire home/apt,80.0,92,1,241,Unknown
179102,The Special Place,857327,Alke,Pankow,Pankow Zentrum,52.57051,13.39872,Entire home/apt,300.0,2,1,327,"First name and Last name: Alke Matzat <br/> Contact address: Wilhelm Kuhr Str 5, 13187, Berlin, Berlin <br/>Listing address: Wilhelm Kuhr Str 5, 13186, Berlin, Berlin"
180440,CITY STUDIO WEST@ Kurfürstendamm(monthly discount),864399,Samuel,Charlottenburg-Wilm.,Neue Kantstraße,52.499,13.30171,Entire home/apt,65.0,92,1,116,Unknown
181160,Berliner Flair. . .,868282,Frank,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4935,13.42134,Private room,60.0,2,2,61,"First name and Last name: Frank Siegfried Schoppmeier <br/> Contact address: Schönleinstraße 33, 10967, Berlin, Berlin <br/>Listing address: Schönleinstraße 33, 10967, Berlin, Berlin"
186663,Apartment Berlin TW Mexikoplatz,897302,Paul,Steglitz - Zehlendorf,Zehlendorf  Nord,52.4343,13.23037,Entire home/apt,100.0,183,4,364,Unknown
186851,"CasaKaiser, 2 room apartment",898345,Susanne,Tempelhof - Schöneberg,Schöneberg-Nord,52.49281,13.34951,Entire home/apt,45.0,93,1,125,Unknown
189288,Townhouse Altenescher Weg,907038,Katarina-Susanne,Pankow,Prenzlauer Berg Ost,52.53822,13.45771,Entire home/apt,120.0,3,1,310,11/3/38/710130-07
190448,Modernes Studioapartment Berlin,920085,Ursula,Neukölln,Buckow Nord,52.43973,13.46044,Entire home/apt,65.0,3,2,229,"First name and Last name: ursula Burde <br/> Contact address: Trappenpfad 35, 12351, Berlin, Berlin <br/>Listing address: Trappenpfad 35, 12351, Berlin, Berlin"
192499,Berliner Flair,868282,Frank,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49187,13.42091,Private room,69.0,2,2,79,"First name and Last name: Frank Siegfried Schoppmeier <br/> Contact address: Schönleinstraße 33, 10967, Berlin, Berlin <br/>Listing address: Schönleinstraße 33, 10967, Berlin, Berlin"
194374,Cottage in the city with garden,943996,Monika,Lichtenberg,Karlshorst,52.4766,13.50838,Entire home/apt,100.0,5,7,356,11/Z/ZE/001087-16
194465,Beautiful Loft-Studio with garden,944530,Christian,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,52.52023,13.44703,Entire home/apt,110.0,3,1,117,02/Z/AZ/019005-24
195413,Residential floor space in Mexicopl,897302,Paul,Steglitz - Zehlendorf,Zehlendorf  Nord,52.43399,13.23025,Entire home/apt,250.0,183,4,364,Unknown
198584,"Oriental Style Room, Kudamm / Zoo",969532,Wendy,Charlottenburg-Wilm.,Düsseldorfer Straße,52.49713,13.32525,Private room,38.0,14,2,79,04/Z/AZ/008076-18
205296,4* apartment in quiet south Berlin,1009105,Gisela,Neukölln,Rudow,52.41363,13.50172,Entire home/apt,100.0,5,1,355,08/Z/NA/004045-16
212379,Charming Apartment in Berlin Prenzlauerberg,1095355,Michael,Pankow,Prenzlauer Berg Südwest,52.53932,13.41451,Entire home/apt,200.0,2,1,86,03/Z/RA/009027-24
214518,Chimaysaberlin Front Room Double Bed,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.5189,13.3009,Private room,40.0,3,1,224,"First name and Last name: Helen Wong <br/> Contact address: Lohmeyerstr. 25, 10587, Berlin, Germany <br/>Listing address: Lohmeyerstr. 25, 10587, Berlin, Germany"
220445,Apt. Near Charlottenburg Palace,1142834,Detlef,Charlottenburg-Wilm.,Mierendorffplatz,52.52545,13.29847,Entire home/apt,57.0,30,1,210,04/Z/ZA/005063-16
222784,Quiet-central-sunlit-separated kitchen-long term,1156924,Camilla,Mitte,Moabit West,52.52875,13.34062,Entire home/apt,49.0,92,2,357,Unknown
225639,Cosy One Room Apartment near River,1175760,Roya,Neukölln,Reuterstraße,52.48609,13.43662,Entire home/apt,99.0,92,1,268,Unknown
229348,Excl. Studio A Mitte/Hansaviertel,1195177,Annika,Mitte,Moabit Ost,52.52067184448242,13.341280937194824,Entire home/apt,104.0,5,2,336,01/Z/NA/004723-16
229363,Excl. Studio B Mitte/Hansaviertel,1195177,Annika,Mitte,Moabit Ost,52.52147674560547,13.342495918273926,Entire home/apt,104.0,5,2,351,01/Z/NA/004722-16
229776,Cosy room in Mitte / Rosenthaler Platz,956350,Arne,Mitte,Alexanderplatz,52.52861,13.40527,Private room,59.0,3,1,12,01/Z/AZ/011800-20
230611,4 bedroom holiday house Berlin,1205340,Christine,Tempelhof - Schöneberg,Lichtenrade,52.39095,13.39185,Entire home/apt,96.0,92,1,0,Unknown
233083,2-bed-loft-dwelling designers flat,1219893,Katharina,Charlottenburg-Wilm.,Neue Kantstraße,52.50587,13.29551,Entire home/apt,120.0,92,1,291,Unknown
237670,Apartment Burde 2,920085,Ursula,Neukölln,Buckow Nord,52.44127,13.46116,Entire home/apt,52.0,4,2,249,"First name and Last name: Ursula Burde <br/> Contact address: Trappenpfad 35, 12351, Berlin, Berlin <br/>Listing address: Trappenpfad 35, 12351, Berlin, Berlin"
355227,Il Nido - Berlin's Mitte for 1-2,1798305,Catherina,Mitte,Moabit Ost,52.52332,13.35737,Entire home/apt,60.0,92,1,192,Unknown
238396,"Within the city, calm and leafy",1250154,Henrik,Pankow,Prenzlauer Berg Südwest,52.53218,13.41571,Entire home/apt,120.0,3,3,75,"First name and Last name: Henrik Noé <br/> Contact address: Strassburger Strasse 16, 10405, Berlin, Deutschland <br/>Listing address: Strassburger Strasse 16, 10405, Berlin, Deutschland"
242794,Elegant renovated apartment 72 m2,1274606,Mario,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51367,13.45527,Entire home/apt,165.0,2,1,222,02/Z/ZA/005795-17
242908,Holiday Apartment in Berlin Wannsee with balcony,1275359,Henning,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.41643,13.16445,Entire home/apt,89.0,5,3,253,"First name and Last name: Vermietung Wulff / Stephan GbR (Negativ Attest liegt vor) <br/> Contact address: Bismarckstrasse 35, 14109, Berlin, Deutschland <br/>Listing address: Bismarckstrasse 35, 14109, Berlin, Deutschland"
242927,Holiday Rental in Berlin Wannsee,1275359,Henning,Steglitz - Zehlendorf,Zehlendorf  Südwest,52.41618,13.16461,Entire home/apt,85.0,5,3,258,"First name and Last name: Vermietung Wulff / Stephan GbR (Negativ Attest liegt vor) <br/> Contact address: Bismarckstrasse 35, 14109, Berlin, Deutschland <br/>Listing address: Bismarckstrasse 35, 14109, Berlin, Deutschland"
242978,Exclusive one-bedroom apartment,1275576,Thomas,Mitte,Moabit West,52.52826,13.33044,Entire home/apt,87.0,2,6,306,01/Z/NA/004607-16
243057,"Dach-Apartement ""Blueberry Hill""  in Berlin-Mitte",1275795,Arne & Ute,Mitte,Moabit West,52.53094,13.33453,Entire home/apt,204.0,4,1,332,Unknown
243063,Holiday apartment in Berlin Mitte,1275846,Anna,Mitte,Alexanderplatz,52.52779,13.39108,Entire home/apt,200.0,2,2,60,01/Z/NA/004920-16
243081,"Living with style, apartment 2",1275846,Anna,Mitte,Brunnenstr. Süd,52.52983,13.39275,Entire home/apt,211.0,1,2,71,01/Z/NA/004921-16
243238,Blue Jewel in Green Borough,1276585,Katharina,Treptow - Köpenick,Johannisthal,52.44612,13.49829,Entire home/apt,85.0,2,1,324,09/Z/RA/001624-18
245744,Apartment in central Berlin,1289259,Martina Ellen,Mitte,Regierungsviertel,52.52024,13.3907,Entire home/apt,279.0,2,1,308,01/Z/AF/001215-14
245827,2-bedroom apartment Mitte,1289393,Hille,Mitte,Regierungsviertel,52.50974,13.39971,Entire home/apt,140.0,3,1,355,01/Z/NA/006511-17
250007,Exotic holiday apartment in Berlin,1310272,Jörg,Tempelhof - Schöneberg,Schöneberg-Nord,52.49512,13.35251,Entire home/apt,79.0,2,1,154,07/Z/ZE/004430-17
250253,Apartment: Luise in Berlin,1311309,Ute,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51792,13.30729,Entire home/apt,130.0,3,4,48,04/Z/AF/000663-14
250704,Holiday Apartment with Garden,1314462,Andreas Otto Rüdiger,Tempelhof - Schöneberg,Marienfelde,52.42191,13.37495,Entire home/apt,72.0,5,1,330,07/Z/ZA/000980-15
250707,Apartment: Friederike in Berlin,1311309,Ute,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51792,13.30729,Entire home/apt,90.0,28,4,58,04/Z/AF/000662-14
250729,Apartment: Grazer Gärten in Berlin,1311309,Ute,Tempelhof - Schöneberg,Friedenau,52.47013,13.34851,Entire home/apt,115.0,28,4,59,07/Z/ZA/002442-16
250753,Apartment: Großer Kurfürst,1311309,Ute,Mitte,Tiergarten Süd,52.49953,13.36546,Entire home/apt,130.0,28,4,24,01/Z/NA/003813-15
250871,"Berlin, big 1-room-apartment!",386940,Elisabeth,Tempelhof - Schöneberg,Schöneberg-Süd,52.48538,13.34681,Entire home/apt,68.0,4,1,346,07/7/NA/001616-16
251398,Modern Room in a nice Environment,1318500,Renate,Spandau,Heerstraße Nord,52.51432,13.17765,Private room,50.0,1,1,57,05/Z/AZ/007195-19
251406,2 Room I 56 m² I Comfort I Balcony,1023063,Raja Jooseppi,Mitte,Brunnenstr. Süd,52.53703,13.39735,Entire home/apt,129.0,3,9,0,01/Z/NA/003421-15
251423,2-room I 50 m² I Comfort I Balcony,1023063,Raja Jooseppi,Mitte,Brunnenstr. Nord,52.53867,13.39712,Entire home/apt,116.0,3,9,287,01/Z/NA/003420-15
251486,I 2 Room I 41 m²  I Balcony,1023063,Raja Jooseppi,Mitte,Brunnenstr. Süd,52.53667,13.39505,Entire home/apt,119.0,3,9,260,01/Z/ZA/006181-16
251493,2-room I 41 m²  I Terrace > Mitte,1023063,Raja Jooseppi,Mitte,Brunnenstr. Nord,52.53881,13.39654,Entire home/apt,116.0,3,9,274,Unknown
252664,CozyRooftopParadies l quiet&central,1326442,Adriana,Mitte,Brunnenstr. Nord,52.53777,13.39144,Entire home/apt,99.0,5,1,37,"First name and Last name: A. Konrad <br/> Contact address: Brunnenstrasse , 10119, Berlin , Deutschland  <br/>Listing address: Brunnenstrasse , 10119, Berlin , Deutschland "
252967,Pension am Traveplatz Zimmer 1,1328326,Wolfram,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51182,13.47093,Private room,35.0,92,2,257,Unknown
254788,Cosy Flat in Kreuzberg 36!,1171000,Bernardo,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49738,13.41322,Entire home/apt,60.0,95,2,0,Unknown
255557,Cosy studio FridayBerlin for you,1343263,Agnieszka,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50786,13.46703,Entire home/apt,90.0,2,1,97,"First name and Last name: Agnieszka Okular <br/> Contact address: Carrer Marina 65, 08005, Barcelona, España <br/>Listing address: Boxhagenerstrasse 53, 10245, Berlin, Alemania"
255722,Renovated apt in an old building,1344455,Wolfram,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49707,13.3849,Entire home/apt,80.0,3,1,208,02/Z/ZA/001717-15
255829,Idyllic located Apartment,1345035,Sylvia,Tempelhof - Schöneberg,Lichtenrade,52.39203,13.41021,Entire home/apt,73.0,3,4,302,07/Z/ZA/001743-16
255842,2-room-Apartment Alvar Aalto,1345036,H.Christian,Mitte,Moabit Ost,52.51625,13.34267,Entire home/apt,70.0,93,1,229,Unknown
257373,Sunny Boutique Studio in the city center,1303212,David,Pankow,Prenzlauer Berg Südwest,52.53949,13.41615,Entire home/apt,86.0,1,1,171,03/Z/NA/001583-16
264459,"Central, cosy and one-of-a-kind",1250154,Henrik,Pankow,Prenzlauer Berg Südwest,52.53237,13.41548,Entire home/apt,130.0,3,3,70,"First name and Last name: Henrik Noé <br/> Contact address: Strassburger Strasse 16, 10405, Berlin, Deutschland <br/>Listing address: Strassburger Strasse 16, 10405, Berlin, Deutschland"
265354,Nice apartment in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,212.0,1,15,253,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin"
265389,Beautiful single room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,73.0,1,15,149,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: AG Charlottenburg HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin"
265394,Stylish double room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Private room,143.0,1,15,260,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin"
265402,Nice room for 3 persons,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Shared room,18.0,1,15,247,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin"
265408,Elegant 4-bed room in Berlin,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.50977,13.44602,Shared room,20.0,1,15,262,"Legal entity name and Legal form: Sunflower Hostel GmbH &amp; Co. KG <br/>Legal representatives or Trade register number: AG Charlottenburg HRA 38259 B <br/> Entity address: Helsingforser Str. 17, 10243, Berlin, Berlin <br/>Listing address: Helsingforser Str. 17, 10243, Berlin, Berlin"
266086,berlin holiday apartment,1395425,Hansjörg,Treptow - Köpenick,Baumschulenweg,52.44987,13.48777,Entire home/apt,105.0,1,1,300,09/Z/RA/002274-20
267764,Berlin Mitte luxury,1382226,Patrick,Mitte,Brunnenstr. Süd,52.53646,13.39858,Entire home/apt,189.0,3,1,7,01/Z/RA/016214-24
267951,Modernes Apartment in Berlin P´berg,1404760,Frank,Pankow,Helmholtzplatz,52.54424,13.42139,Entire home/apt,104.0,2,1,72,03/Z/NA/001547-16
268974,Familie Heuckes Ferienwohnung,1409188,Peter,Neukölln,Rudow,52.41975,13.48541,Entire home/apt,80.0,3,1,272,08/Z/NA/004785-17
273011,2BR Urban Retreat in prime Berlin West location,1428703,Susanne,Charlottenburg-Wilm.,Halensee,52.49614,13.29501,Entire home/apt,150.0,3,1,22,04/Z/RA/015010-24
278415,NEW Berlin Bellevue *Victory Column,1453075,Jesus Daniel,Mitte,Moabit Ost,52.51952,13.3513,Entire home/apt,119.0,92,1,284,Unknown
292864,Lounge Room in the Center of Berlin,286494,Project A,Pankow,Prenzlauer Berg Südwest,52.53091,13.41711,Private room,74.0,1,5,340,"First name and Last name: Jesse Ang <br/> Contact address: Metzer Str. 25, 10405, Berlin, Deutschland <br/>Listing address: Metzer Str. 25, 10405, Berlin, Deutschland"
302167,Nice 2 Room apartment at Prenzl Bg,1554470,Hendrik,Pankow,Prenzlauer Berg Süd,52.53538,13.4296,Entire home/apt,66.0,92,2,109,Unknown
303097,Beautiful city apartment at park,1560726,Ann-Katrin,Pankow,Prenzlauer Berg Süd,52.52987,13.4268,Private room,65.0,5,1,303,"First name and Last name: Carl Frech <br/> Contact address: Am Friedrichshain 25, 10407, Berlin, Deutschland <br/>Listing address: Am Friedrichshain 25, 10407, Berlin, Deutschland"
304904,bedroom with your own bath,870376,Andreas,Pankow,Prenzlauer Berg Nordwest,52.55381,13.40553,Private room,31.0,5,2,0,03/Z/AZ/006900-22
305987,Lovely Apartment in Berlin Prenzlauer Berg,246890,Imme,Pankow,Prenzlauer Berg Nordwest,52.54579,13.40737,Entire home/apt,103.0,4,1,12,03/Z/AZ/003767-18
306312,LOVINGLY RESTORED 100qm APARTMENT,1575292,Michel,Pankow,Prenzlauer Berg Südwest,52.53961,13.41951,Entire home/apt,186.0,4,1,239,03/Z/ZA/001005-15
311703,Elegant 4 Room Apartment with 2 Bathrooms,1602903,Kathrin,Tempelhof - Schöneberg,Schöneberg-Nord,52.49779,13.35518,Entire home/apt,295.0,3,1,262,07/Z/NA/004419-17
320028,Zimmer nach längerer Pause  wieder verfügbar.,1625792,Ursula,Tempelhof - Schöneberg,Friedenau,52.4719,13.33744,Private room,61.0,2,1,353,"First name and Last name: Ursula Röling <br/> Contact address: Fregestraße 7a, 12159 , Berli, Berlin <br/>Listing address: Fregestraße 7a, 12159, Berlin, Berlin"
320279,STUDIO NEAR KASTANIENALLE,1641541,Stamatis,Mitte,Brunnenstr. Süd,52.53164,13.40554,Entire home/apt,103.0,6,1,129,01/z/ra/011474-20
321295,Beautiful 1-room apartment,1354122,Heike & Heinrich,Tempelhof - Schöneberg,Friedenau,52.46353,13.34404,Entire home/apt,50.0,2,2,258,07/Z/ZA/000462-14
321308,Schönes Apartment in Berlin,1354122,Heike & Heinrich,Tempelhof - Schöneberg,Friedenau,52.46411,13.34383,Entire home/apt,60.0,2,2,216,07/Z/ZA/000466-14
321378,Designer Top-Floor Flat / 2 Roof Terraces in Mitte,3062473,Robin,Mitte,Brunnenstr. Süd,52.53392,13.40503,Entire home/apt,162.0,1,3,308,01/Z/NA/004886-16
322463,Great value studio in Prenzlauer Berg. StayBearlin,163384,Alan & Kasia StayBearlin,Pankow,Prenzlauer Berg Nord,52.54094,13.43602,Entire home/apt,153.0,3,9,132,"Legal entity name and Legal form: StayBearlin <br/>Legal representatives or Trade register number: Alan Connaughton <br/> Entity address: Grellstraße 34, 10409, Berlin, Deutschland <br/>Listing address: Grellstraße 34, EG links, 10409, Berlin, Deutschland"
322520,Sunny Garden apt in Prenzlauer Berg by StayBearlin,163384,Alan & Kasia StayBearlin,Pankow,Prenzlauer Berg Nord,52.5429,13.43628,Entire home/apt,153.0,3,9,117,"Legal entity name and Legal form: StayBearlin <br/>Legal representatives or Trade register number: Alan Connaughton <br/> Entity address: Grellstraße 34, 10409, Berlin, Deutschland <br/>Listing address: Grellstraße 34, EG links, 10409, Berlin, Deutschland"
323243,nettes Einzelzimmer 1.3 (1. Etage),1654885,Claudius,Neukölln,Neuköllner Mitte/Zentrum,52.48348,13.42909,Private room,36.0,3,8,314,08/Z/AZ/011192-22
323255,ruhiges Dreibettzimmer 1.4 zum Innenhof (1. Etage),1654885,Claudius,Neukölln,Neuköllner Mitte/Zentrum,52.48348,13.42909,Private room,60.0,3,8,330,08/Z/AZ/011192-22
323259,Dreibettzimmer mit Balkon 1.2 (1. Etage),1654885,Claudius,Neukölln,Neuköllner Mitte/Zentrum,52.48348,13.42909,Private room,60.0,3,8,337,08/Z/AZ/011191-22
335273,Cool Design Apartment in Berlin,1641549,Greg,Pankow,Prenzlauer Berg Südwest,52.5376,13.41004,Entire home/apt,59.0,92,1,170,Unknown
